Filter ID,Field_blank_corr_mass_mg
KHU0768,0.3526
KHU0769,0.1561
KHU0770,0.129
KHU0771,0.2722
KHU0772,0.1839
KHU0773,0.166
KHU0774,0.1377
KHU0775,0.0641
KHU0776,0.0956
KHU0777,0.6074
KHU0778,0.0802
KHU0779,0.094
KHU0780,0.0683
KHU0781,0.1943
KHU0782,0.1545
KHU0783,0.1091
KHU0784,0.0737
KHU0785,0.1284
KHU0786,0.0438
KHU0787,0.593
KHU0788,0.1196
KHU0789,0.1158
KHU0790,0.1082
KHU0791,0.1281
KHU0792,0.1049
KHU0793,0.0552
KHU0794,0.2333
KHU0796,0.277
KHU0797,0.0737
KHU0798,0.0684
KHU0799,0.0716
KHU0800,0.2343
KHU0801,0.3583
KHU0802,0.1446
KHU0803,0.1135
KHU0804,0.0595
KHU0805,0.1838
KHU0806,0.1226
KHU0807,0.1148
KHU0808,0.0695
KHU0809,0.5932
KHU0810,0.0705
KHU0811,0.1163
KHU0812,0.1033
KHU0813,0.3506
KHU0814,0.2603
KHU0815,0.0778
KHU0816,0.1362
KHU0817,0.1736
KHU0818,0.6603
KHU0819,0.1349
KHU0820,0.1068
KHU0821,0.1389
KHU0822,0.0628
KHU0823,0.0459
KHU0824,0.1867
KHU0825,0.1918
KHU0827,0.0406
KHU0828,0.1416
KHU0829,0.0799
KHU0830,0.1454
KHU0831,0.0988
KHU0832,0.297
KHU0833,0.1958
KHU0834,0.131
KHU0835,0.1015
KHU0836,0.1572
KHU0837,0.6418
KHU0838,0.069
KHU0839,0.2114
KHU0840,0.3254
KHU0841,0.0806
KHU0842,0.2801
KHU0843,0.0993
KHU0844,0.2364
KHU0845,0.4039
KHU0846,0.0369
KHU0847,0.19
KHU0848,0.1454
KHU0849,0.0578
KHU0850,0.2527
KHU0851,0.135
KHU0852,1.0309
KHU0853,0.0856
KHU0854,0.0563
KHU0855,0.1107
KHU0856,0.0714
KHU0857,0.0931
KHU0858,0.3662
KHU0859,0.1111
KHU0860,0.0522
KHU0861,0.182
KHU0862,0.1137
KHU0863,0.2009
KHU0864,0.1452
KHU0865,0.1576
KHU0866,0.1083
KHU0867,0.0878
KHU0869,0.3579
KHU0870,0.1212
KHU0871,0.1816
KHU0872,0.0324
KHU0873,0.1247
KHU0874,0.074
KHU0875,0.108
KHU0876,0.029
KHU0877,0.0465
KHU0878,0.1564
KHU0879,0.3518
KHU0880,0.1611
KHU0881,0.0916
KHU0882,0
KHU0883,0.1526
KHU0884,0.1136
KHU0885,0.0886
KHU0886,0.0626
KHU0887,0.0818
KHU0888,0.0676
KHU0889,0.2373
KHU0890,0.0737
KHU0891,0.0117
KHU0892,0.1672
KHU0893,0.5055
KHU0894,0.0732
KHU0895,0.0385
KHU0896,0.1043
KHU0898,0.1512
KHU0899,0.1058
KHU0900,0.452
KHU0901,0.1781
KHU0902,0.2957
KHU0903,0.1441
KHU0904,0.0811
KHU0905,0.3306
KHU0906,0.2939
KHU0907,0.0587
KHU0908,0.1335
KHU0909,0.4191
KHU0910,0.1198
KHU0911,0.1267
KHU0912,0.088
KHU0913,0.1446
KHU0914,0.1543
KHU0915,0.0682
KHU0921,0.1577
KHU0922,0.3136
KHU0923,0.4173
KHU0924,0.4612
KHU0925,0.5058
KHU0926,0.1407
KHU0927,0.1624
KHU0928,0.1605
KHU0929,0.0986
KHU0930,0.0529
KHU0931,0.3397
KHU0932,0.1162
KHU0933,0.4904
KHU0934,0.0962
KHU0935,0.0509
KHU0936,0.282
KHU0937,0.0636
KHU0938,0.1526
KHU0939,0.0846
KHU0940,0.0619
KHU0942,0.1484
KHU0943,0.3763
KHU0944,0.087
KHU0945,0.0728
KHU0946,0.8298
KHU0947,0.2161
KHU0948,0.5736
KHU0949,0.1356
KHU0950,0.3001
KHU0951,0.015
KHU0952,0.2324
KHU0953,0.0316
KHU0954,0.2044
KHU0955,0.2195
KHU0956,0.4488
KHU0957,0.0781
KHU0958,0.1589
KHU0959,0.5023
KHU0960,0.4349
KHU0961,0.1804
KHU0962,0.2226
KHU0963,0.2147
KHU0964,0.6093
KHU0965,0.0523
KHU0966,0.0626
KHU0967,0.1117
KHU0968,0.0531
KHU0969,0.1288
KHU0970,0.6776
KHU0972,0.1114
KHU0973,0.2156
KHU0974,0.1702
KHU0975,0.3705
KHU0976,0.0929
KHU0977,0.1008
KHU0978,0.2614
KHU0979,0.0533
KHU0980,0.4642
KHU0981,0.1099
KHU0982,0.3822
KHU0983,0.082
KHU0984,0.1257
KHU0985,0.1626
KHU0986,0.0583
KHU0987,0.1064
KHU0988,0.0646
KHU0989,0.1057
KHU0990,0.0879
KHU0991,0.138
KHU0992,0.1619
KHU0993,0.0329
KHU0994,0.3395
KHU0995,0.0365
KHU0996,0.0633
KHU0997,0.0896
KHU0998,0
KHU0999,0.0687
KHU1000,0.1444
KHU1001,0.05
KHU1002,0.0554
KHU1003,0.0784
KHU1004,0.0767
KHU1006,0.108
KHU1007,0.1388
KHU1008,0.2288
KHU1009,0.0864
KHU1010,0.0548
KHU1011,0.3521
KHU1012,0.1914
KHU1013,0.1258
KHU1014,0.2025
KHU1015,0.1365
KHU1016,0.7858
KHU1017,0.089
KHU1018,0.1531
KHU1019,0.0579
KHU1020,0.1137
KHU1021,0.1129
KHU1022,0.0412
KHU1023,0.0545
KHU1024,0.3144
KHU1025,0.2461
KHU1026,0.0268
KHU1027,0.049
KHU1028,0.1981
KHU1029,0.013
KHU1030,0.0767
KHU1031,0.0676
KHU1032,0.4303
KHU1033,0.05
KHU1035,0.6424
KHU1036,0.2783
KHU1037,0.0701
KHU1038,0.2149
KHU1039,0.1779
KHU1041,0.1693
KHU1042,0.2339
KHU1043,0.054
KHU1044,0.0481
KHU1045,0.1956
KHU1046,0.0348
KHU1047,0
KHU1048,0.0271
KHU1049,0.1492
KHU1050,0.0873
KHU1051,0.0303
KHU1052,0.0978
KHU1053,0.1098
KHU1054,0.1879
KHU1055,0.0648
KHU1056,0.0002
KHU1057,0.1406
KHU1058,0.1456
KHU1059,0.1001
KHU1060,0.1839
KHU1061,0.0822
KHU1062,0.4457
KHU1063,0.0666
KHU1064,0.0319
KHU1065,0.0878
KHU1066,0.1913
KHU1067,0.2049
KHU1068,0.1442
KHU1069,0.1877
KHU1070,0.3757
KHU1071,0.9193
KHU1072,0.0461
KHU1073,0.0288
KHU1074,0.022
KHU1075,0.1418
KHU1076,0.1229
KHU1077,0.0559
KHU1078,0.1922
KHU1079,0.0709
KHU1080,0.1716
KHU1081,0.1621
KHU1082,0.0252
KHU1083,0.0846
KHU1084,0.1949
KHU1085,0.1024
KHU1086,0.157
KHU1087,0.035
KHU1088,0.1083
KHU1089,0.1656
KHU1091,0.4832
KHU1092,0.2102
KHU1093,0.0346
KHU1094,0.1139
KHU1095,0.1077
KHU1101,0.4655
KHU1102,0.3329
KHU1103,0.2155
KHU1104,0.2691
KHU1105,0.3807
KHU1106,0.1038
KHU1107,0.2101
KHU1108,0.1018
KHU1109,0.2424
KHU1110,0.3332
KHU1111,0.314
KHU1112,0.1986
KHU1113,0.0424
KHU1114,0.0624
KHU1115,0.0951
KHU1116,0.0506
KHU1117,0.4224
KHU1118,0.0361
KHU1119,0.2098
KHU1120,0.2396
KHU1121,0.1802
KHU1122,0.0942
KHU1123,0.3584
KHU1124,0.0795
KHU1125,0.0798
KHU1126,0.0559
KHU1127,0.0991
KHU1128,0.1194
KHU1129,0.1171
KHU1130,0.1602
KHU1131,0.0587
KHU1132,0.2633
KHU1133,0.094
KHU1134,0.3611
KHU1135,0.1386
KHU1136,0.0811
KHU1137,0
KHU1138,0.0892
KHU1139,0.0522
KHU1140,0.0709
KHU1141,0.1038
KHU1142,0.0284
KHU1143,0.147
KHU1144,0.099
KHU1145,0.1522
KHU1146,0.2588
KHU1147,0.0288
KHU1148,0.1155
KHU1149,0.2112
KHU1150,0.1151
KHU1151,0.1431
KHU1152,0.0323
KHU1153,0.0917
KHU1154,0.3416
KHU1155,0.1578
KHU1156,0.083
KHU1157,0.0725
KHU1159,0.0419
KHU1160,0.1563
KHU1161,0.2517
KHU1162,0.1646
KHU1163,0.2288
KHU1164,0.0868
KHU1165,0.0561
KHU1166,0.0189
KHU1167,0.0736
KHU1168,0.1361
KHU1169,0.0882
KHU1170,2.5419
KHU1171,0.0417
KHU1172,0.0641
KHU1173,0.0261
KHU1174,0.1346
KHU1175,0.0572
KHU1176,0.1882
KHU1177,0.1583
KHU1178,0.0133
KHU1179,0.0642
KHU1180,0.0527
KHU1181,0.4307
KHU1182,0.0616
KHU1183,0.0525
KHU1184,0.0832
KHU1185,0.1333
KHU1186,0.3027
KHU1187,0.1112
KHU1188,0.1514
KHU1189,0.0314
KHU1190,0.0744
KHU1191,0.0384
KHU1192,0.5099
KHU1193,0.1341
KHU1194,0.1131
KHU1195,0.0246
KHU1201,0.1653
KHU1202,0.08
KHU1203,0.4379
KHU1204,0.2677
KHU1205,0.0633
KHU1206,0.2697
KHU1207,0.0231
KHU1208,0.1615
KHU1209,0.3245
KHU1210,0.3429
KHU1211,0.0372
KHU1212,0.1544
KHU1213,0.4057
KHU1214,0.0749
KHU1215,0.379
KHU1216,0.0623
KHU1217,0.1263
KHU1218,3.9525
KHU1219,0.0761
KHU1220,0.0351
KHU1221,0.1681
KHU1222,0.0148
KHU1223,0.5099
KHU1224,0.1177
KHU1225,0.0522
KHU1226,0.0106
KHU1227,0.0503
KHU1228,0.0947
KHU1229,0.1801
KHU1230,0.0213
KHU1231,0.056
KHU1232,0.116
KHU1233,0.0981
KHU1234,0.1122
KHU1235,0.0907
KHU1236,0.0453
KHU1237,0.148
KHU1238,0.1707
KHU1239,0.0666
KHU1240,0.0716
KHU1241,0.0624
KHU1242,0.1564
KHU1243,0.0457
KHU1244,0.0737
KHU1245,0.0695
KHU1246,0.1214
KHU1247,0.1074
KHU1249,0.1125
KHU1250,0.0779
KHU1251,0.1878
KHU1252,0.0628
KHU1253,0.0192
KHU1254,0.0282
KHU1255,0.0382
KHU1256,0.0814
KHU1257,0.0276
KHU1258,0.1005
KHU1259,0.0297
KHU1260,0.015
KHU1261,0.0385
KHU1262,0.0302
KHU1263,0.0215
KHU1264,0.0758
KHU1265,0.047
KHU1266,0.3281
KHU1267,0.0295
KHU1268,0.0802
KHU1269,0.0798
KHU1270,0.0605
KHU1271,0.012
KHU1272,0.0728
KHU1273,0.1363
KHU1274,0.0356
KHU1275,0.0175
KHU1277,0.0167
KHU1278,0.0159
KHU1279,0.0662
KHU1280,0.0454
KHU1281,0.1045
KHU1282,0.0338
KHU1283,0.0704
KHU1284,0.1724
KHU1285,0.0683
KHU1286,0.0067
KHU1287,0.3102
KHU1288,0.0473
KHU1289,0.123
KHU1290,0.069
KHU1291,0.0431
KHU1292,0.0633
KHU1293,0.0359
KHU1294,0.0322
KHU1295,0.0818
KHU1296,0.1642
KHU1297,0.0681
KHU1298,0.1659
KHU1299,0.15
KHU1300,0.1166
KHU1342,0.0226
KHU1343,0.0369
KHU1344,0.0164
KHU1345,0.1055
KHU1346,0.1152
KHU1347,0.0348
KHU1348,0.0296
KHU1349,0.0627
KHU1350,0.0322
KHU1362,0.0043
KHU1370,0.0909
KHU1373,0.0621
KHU1375,0.0036
KHU1376,0.0024
KHU1401,0.0614
KHU1402,0.1337
KHU1403,0.1509
KHU1404,0.0755
KHU1405,0.1288
KHU1406,0.1984
KHU1407,0.1719
KHU1408,0.125
KHU1409,0.0826
KHU1410,0.0929
KHU1411,0.0585
KHU1412,0.2611
KHU1413,0.0406
KHU1414,0.0397
KHU1415,0.0698
KHU1416,0.6312
KHU1417,0.227
KHU1418,0.0498
KHU1419,0.0663
KHU1420,0.1469
KHU1421,0.1214
KHU1422,0.2614
KHU1423,0.1066
KHU1424,0.1146
KHU1425,0.2368
KHU1426,0.0971
KHU1427,0.076
KHU1428,0.0676
KHU1429,0.15
KHU1430,0.0676
KHU1431,0.0289
KHU1432,0.1748
KHU1433,0.0757
KHU1434,0.0336
KHU1435,0.0569
KHU1436,0.1023
KHU1437,0.1726
KHU1438,0.4793
KHU1439,0.0707
KHU1440,0.1073
KHU1441,0.0785
KHU1442,0.2705
KHU1443,0.1761
KHU1444,0.0593
KHU1445,0.0758
KHU1446,0.0884
KHU1447,0.1217
KHU1448,0.07
KHU1449,0.0587
KHU1450,0.0704
KHU1451,0.2603
KHU1452,0.1001
KHU1453,0.3601
KHU1454,0.2316
KHU1455,0.1211
KHU1456,0.5365
KHU1457,0.3408
KHU1458,0.2617
KHU1459,0.131
KHU1460,0.17
KHU1461,0.0728
KHU1462,0.1071
KHU1463,0.2541
KHU1464,0.4283
KHU1465,0.3484
KHU1466,0.3321
KHU1467,0.0672
KHU1468,0.1867
KHU1469,0.2661
KHU1470,0.2377
KHU1471,0.3479
KHU1472,0.1093
KHU1473,0.1449
KHU1474,0.2764
KHU1475,0.2826
KHU1476,0.5891
KHU1477,0.0944
KHU1478,0.5883
KHU1479,0.3764
KHU1480,0.2655
KHU1481,0.3024
KHU1482,0.104
KHU1483,0.0481
KHU1484,0.1345
KHU1485,0.1966
KHU1486,0.1315
KHU1487,0.3387
KHU1488,0.1017
KHU1489,0.2873
KHU1490,0.0548
KHU1492,0.141
KHU1493,0.267
KHU1494,0.2287
KHU1495,0.5565
KHU1496,0.3043
KHU1497,0.3447
KHU1498,0.8533
KHU1499,0.253
KHU1500,0.9067
KHU1502,0.2235
KHU1503,0.1424
KHU1504,1.1373
KHU1506,1.0383
KHU1507,1.4412
KHU1508,1.0203
KHU1509,0.3295
KHU1510,0.2646
KHU1511,0.7715
KHU1512,0.3978
KHU1514,0.4911
KHU1515,0.1733
KHU1516,0.2507
KHU1517,0.1504
KHU1518,0.3069
KHU1519,0.1779
KHU1520,0.1766
KHU1522,0.5701
KHU1523,0.4238
KHU1524,0.7473
KHU1525,0.2118
KHU1526,0.3336
KHU1527,0.1431
KHU1528,0.2183
KHU1529,0.2139
KHU1530,0.2547
KHU1531,0.4099
KHU1532,0.2123
KHU1533,0.2865
KHU1534,0.1187
KHU1535,0.1211
KHU1536,0.6891
KHU1537,0.503
KHU1538,0.2725
KHU1539,0.6029
KHU1540,0.5175
KHU1541,0.1768
KHU1542,0.5779
KHU1543,0.1161
KHU1544,0.2752
KHU1545,0.8385
KHU1546,0.5438
KHU1547,0.346
KHU1548,0.1813
KHU1549,0.1765
KHU1550,0.0957
KHU1600,0
KHU1604,0.2977
KHU1605,0.3433
KHU1606,0.0911
KHU1607,0.2246
KHU1612,0.1906
KHU1616,0.134
KHU1620,0.0562
KHU1621,0.5834
KHU1622,0.2898
KHU1628,0.0948
KHU1630,0.0776
KHU1631,0.116
KHU1633,0.3317
KHU1634,0.5812
KHU1635,0.105
KHU1637,0.0795
KHU1638,0.1072
KHU1639,0.1213
KHU1644,0.0589
KHU1646,0.0885
KHU1647,0.1349
KHU1651,0.2895
KHU1652,0.1458
KHU1653,0.3591
KHU1654,0.1557
KHU1655,0.0446
KHU1656,0.0353
KHU1662,0.044
KHU1664,0.3973
KHU1665,0.0704
KHU1669,0.1946
KHU1672,0.0723
KHU1673,0.032
KHU1674,0.4852
KHU1675,0.2041
KHU1676,0.2918
KHU1677,0.2054
KHU1678,0.1734
KHU1679,0.0211
KHU1680,0.1555
KHU1681,0.3852
KHU1682,0.2224
KHU1683,0.2526
KHU1685,0.8175
KHU1686,0.3217
KHU1688,0.3266
KHU1689,0.252
KHU1690,0
KHU1693,0.1203
KHU1694,0.0582
KHU1695,0.6563
